Dep_apt,Arr_apt,SchedDepApt,SchedArrApt,DepCountryCode,ArrCountryCode,avg_daily_passenger_cnt
809,374,BKK,WNZ,TH,CN,67.29071233
809,207,BKK,WUH,TH,CN,315.1110795
809,160,BKK,WUS,TH,CN,64.36010959
809,321,BKK,XIY,TH,CN,57.56654247
809,245,BKK,XUZ,TH,CN,31.77271233
809,244,BKK,YTY,TH,CN,148.68
418,732,BKM,BBN,MY,MY,2.353534247
418,745,BKM,LWY,MY,MY,6.924821918
66,68,BKQ,LRE,AU,AU,29.47349041
398,426,BKS,BTH,ID,ID,54.32590685
398,399,BKS,CGK,ID,ID,777.0374356
398,409,BKS,HLP,ID,ID,154.3827945
398,470,BKS,PDG,ID,ID,55.92585753
398,478,BKS,PLM,ID,ID,77.93819178
398,431,BKS,TKG,ID,ID,54.76040548
538,518,BLR,AMD,IN,IN,1146.728603
538,567,BLR,ATQ,IN,IN,173.6100822
538,563,BLR,BBI,IN,IN,802.6509479
538,524,BLR,BDQ,IN,IN,200.5844822
538,558,BLR,BHO,IN,IN,124.6467945
538,809,BLR,BKK,IN,TH,485.761863
538,552,BLR,BOM,IN,IN,5000.412274
538,542,BLR,CCJ,IN,IN,172.8761425
538,594,BLR,CCU,IN,IN,2309.052263
538,579,BLR,CJB,IN,IN,634.2729534
538,543,BLR,CNN,IN,IN,304.9372932
538,540,BLR,COK,IN,IN,1551.986833
538,593,BLR,DED,IN,IN,141.3478356
538,513,BLR,DEL,IN,IN,5189.412926
538,806,BLR,DMK,IN,TH,146.2359452
538,505,BLR,GAU,IN,IN,399.8661918
538,514,BLR,GOI,IN,IN,1391.320373
538,591,BLR,GOP,IN,IN,133.6083288
538,560,BLR,GWL,IN,IN,37.79232877
538,533,BLR,HBX,IN,IN,302.0142027
538,391,BLR,HKG,IN,HK,416.3945205
