apt_code,airport,total_population,,provinces
804,PAG,1831214.32,PH,"PH-ZAS, PH-ZSI"
805,SIN,5943337.4,SG,SG-01
806,DMK,16749910.67,TH,"TH-71, TH-70, TH-72, TH-18, TH-16, TH-26, TH-19, TH-17, TH-73, TH-15, TH-14, TH-13, TH-10, TH-74, TH-12"
807,UTP,1003247.55,TH,TH-21
808,TDX,1214008.47,TH,"TH-22, TH-27, TH-23"
809,BKK,7042956.39,TH,"TH-24, TH-25, TH-20, TH-11"
810,BFV,3519987.08,TH,"TH-30, TH-32, TH-31"
811,UBP,2365420.24,TH,"TH-34, TH-37, TH-33"
812,ROI,2143306.27,TH,"TH-46, TH-35, TH-45, TH-44"
813,KKC,2087012.15,TH,"TH-36, TH-40"
814,UTH,1921790.35,TH,"TH-41, TH-43, TH-38, TH-39"
815,LOE,1012118.79,TH,"TH-42, TH-67"
816,SNO,707908.74,TH,TH-47
817,KOP,677593.39,TH,"TH-48, TH-49"
818,CNX,1783283.73,TH,"TH-50, TH-51"
819,LPT,635359.86,TH,TH-52
820,THS,816029.63,TH,"TH-53, TH-64"
821,PRH,426021.25,TH,TH-54
822,NNT,311207.29,TH,TH-55
823,CEI,1214350.32,TH,"TH-56, TH-57"
824,HGN,186445.34,TH,TH-58
825,PHS,2884357.04,TH,"TH-61, TH-65, TH-60, TH-62, TH-66"
826,MAQ,408396.8,TH,TH-63
827,HHQ,844691.34,TH,"TH-76, TH-77, TH-75"
828,NST,1166147.13,TH,TH-80
829,KBV,246285.44,TH,TH-81
830,HKT,1770834.81,TH,"TH-82, TH-83"
831,URT,872273.52,TH,TH-84
832,UNN,345655.93,TH,TH-85
833,CJM,339323.46,TH,TH-86
834,HDY,1821977.71,TH,"TH-90, TH-91"
835,TST,876975.61,TH,"TH-92, TH-93"
836,PAN,560062.42,TH,TH-94
837,NAW,845816.02,TH,"TH-96, TH-95"
838,DIN,2817851.26,VN,"VN-71, VN-01, VN-05, VN-02"
839,HAN,16895280.42,VN,"VN-09, VN-53, VN-06, VN-07, VN-04, VN-03, VN-14, VN-68, VN-54, VN-69, VN-70, VN-HN, VN-66, VN-56"
840,VDO,997370.52,VN,VN-13
841,THD,4014449.16,VN,"VN-21, VN-18"
842,HPH,6121930.77,VN,"VN-61, VN-63, VN-20, VN-67, VN-HP"
843,VII,3422059.82,VN,"VN-22, VN-23"
844,VDH,831596.58,VN,VN-24
845,HUI,1342457.02,VN,"VN-26, VN-25"
846,VCL,2633452.86,VN,"VN-27, VN-29"
847,PXU,1964966.25,VN,"VN-28, VN-30"
848,UIH,1193145.47,VN,VN-31
849,TBB,2152543.18,VN,"VN-32, VN-34"
850,BMV,2442776.67,VN,"VN-33, VN-72"
851,DLI,2705764.9,VN,"VN-35, VN-36, VN-40"
852,SGN,17340178.96,VN,"VN-37, VN-58, VN-41, VN-39, VN-57, VN-SG"
853,VCS,5900451.98,VN,"VN-43, VN-50, VN-51, VN-46"
854,VKG,4051978.75,VN,"VN-47, VN-44, VN-45"
855,VCA,4705573.87,VN,"VN-52, VN-73, VN-CT, VN-49"
856,CAH,1768576.35,VN,"VN-59, VN-55"
857,DAD,1104203.72,VN,VN-DN
