Dep_apt,Arr_apt,SchedDepApt,SchedArrApt,DepCountryCode,ArrCountryCode,avg_daily_passenger_cnt
113,99,AVV,ADL,0,0,82.28317808
113,727,AVV,KUL,0,10,568.6953425
113,31,AVV,OOL,0,0,146.2359452
113,22,AVV,SYD,0,0,795.1324932
651,644,AXJ,FUK,5,5,82.97566027
612,603,AXT,CTS,5,5,285.1103068
612,617,AXT,HND,5,5,1314.102636
612,628,AXT,ITM,5,5,473.0490685
612,627,AXT,NGO,5,5,161.6629096
33,99,AYQ,ADL,0,0,27.5884
33,92,AYQ,BNE,0,0,61.10136986
33,69,AYQ,CNS,0,0,108.4390904
33,114,AYQ,MEL,0,0,121.5690959
33,22,AYQ,SYD,0,0,271.6385863
277,202,BAV,CGO,2,2,303.7476712
277,159,BAV,CKG,2,2,64.29221918
277,298,BAV,CTU,2,2,65.26531507
277,263,BAV,DLC,2,2,93.94068493
277,164,BAV,FOC,2,2,48.27913425
277,213,BAV,HDG,2,2,66.32893151
277,153,BAV,HFE,2,2,69.44057534
277,225,BAV,HRB,2,2,48.27913425
277,252,BAV,KHN,2,2,74.88312329
277,196,BAV,KWE,2,2,35.81219178
277,179,BAV,LHW,2,2,62.52706849
277,246,BAV,NKG,2,2,198.9867945
277,154,BAV,PEK,2,2,388.9735836
277,155,BAV,PKX,2,2,19.22203836
277,317,BAV,PVG,2,2,228.3508438
277,257,BAV,SHE,2,2,154.4144767
277,211,BAV,SJW,2,2,229.0426027
277,331,BAV,TSN,2,2,91.89193425
277,324,BAV,TYN,2,2,189.1411452
277,348,BAV,URC,2,2,83.53688767
277,207,BAV,WUH,2,2,92.65076712
277,325,BAV,WUT,2,2,106.335211
277,321,BAV,XIY,2,2,109.6928
277,206,BAV,YIH,2,2,31.55546301
563,518,BBI,AMD,4,4,22.81117808
563,538,BBI,BLR,4,4,834.4003068
563,552,BBI,BOM,4,4,538.8650192
563,594,BBI,CCU,4,4,1026.62069
563,540,BBI,COK,4,4,73.32164384
563,513,BBI,DEL,4,4,1645.13474
563,806,BBI,DMK,4,14,43.9929863
563,505,BBI,GAU,4,4,142.569863
563,577,BBI,HYD,4,4,579.4958904
563,530,BBI,IXR,4,4,93.85170411
563,727,BBI,KUL,4,10,84.72723288
563,583,BBI,MAA,4,4,298.5820274
563,496,BBI,VTZ,4,4,36.25347945
732,418,BBN,BKM,10,3,2.353534247
795,779,BCD,CEB,12,12,370.7812164
795,781,BCD,CGY,12,12,11.24265205
795,776,BCD,CRK,12,12,179.4479342
795,787,BCD,DVO,12,12,72.5069589
795,780,BCD,MNL,12,12,1796.878137
428,404,BDJ,BDO,3,3,61.38424658
428,399,BDJ,CGK,3,3,1454.133397
428,491,BDJ,JOG,3,3,137.0119014
428,417,BDJ,PNK,3,3,62.40486575
428,411,BDJ,SOC,3,3,39.10487671
428,413,BDJ,SRG,3,3,280.9667288
428,408,BDJ,SUB,3,3,1256.502148
428,476,BDJ,UPG,3,3,216.1064932
404,428,BDO,BDJ,3,3,61.38424658
404,426,BDO,BTH,3,3,61.38424658
404,409,BDO,HLP,3,3,178.6875616
404,491,BDO,JOG,3,3,95.43807671
404,490,BDO,KNO,3,3,208.1180548
404,727,BDO,KUL,3,10,503.3395068
404,439,BDO,LOP,3,3,20.34449315
404,406,BDO,MLG,3,3,9.939156164
404,470,BDO,PDG,3,3,60.89769863
404,397,BDO,PGK,3,3,114.2640877
404,466,BDO,PKU,3,3,150.999589
404,478,BDO,PLM,3,3,148.8157808
404,417,BDO,PNK,3,3,61.38424658
404,805,BDO,SIN,3,13,357.9069315
404,411,BDO,SOC,3,3,42.35003836
404,413,BDO,SRG,3,3,173.9397589
404,408,BDO,SUB,3,3,492.0085973
404,431,BDO,TKG,3,3,139.093874
404,476,BDO,UPG,3,3,61.03347945
524,538,BDQ,BLR,4,4,183.2656384
524,552,BDQ,BOM,4,4,494.8645205
524,513,BDQ,DEL,4,4,777.2281589
524,577,BDQ,HYD,4,4,96.54016438
197,167,BFJ,CAN,2,2,126.049863
197,202,BFJ,CGO,2,2,21.72493151
197,159,BFJ,CKG,2,2,96.91356164
197,298,BFJ,CTU,2,2,76.44460274
197,215,BFJ,HAK,2,2,58.28391781
197,379,BFJ,HGH,2,2,148.68
197,361,BFJ,JHG,2,2,82.28317808
197,365,BFJ,KMG,2,2,292.0645479
197,363,BFJ,LJG,2,2,51.73249315
197,187,BFJ,LZH,2,2,42.60123288
197,246,BFJ,NKG,2,2,83.50520548
197,185,BFJ,NNG,2,2,28.80816438
197,155,BFJ,PKX,2,2,26.6628274
197,318,BFJ,SHA,2,2,146.2359452
197,172,BFJ,SZX,2,2,85.94926027
197,315,BFJ,TNA,2,2,34.28465753
197,207,BFJ,WUH,2,2,41.06238356
197,321,BFJ,XIY,2,2,148.1595068
810,806,BFV,DMK,14,14,523.1295616
755,749,BHE,AKL,11,11,296.1651288
755,751,BHE,CHC,11,11,4.52150137
755,754,BHE,NPE,11,11,1.593161644
755,767,BHE,PPQ,11,11,10.79231233
755,768,BHE,WLG,11,11,384.7304329
515,552,BHJ,BOM,4,4,88.88665205
558,518,BHO,AMD,4,4,31.00328767
558,538,BHO,BLR,4,4,124.7289863
558,552,BHO,BOM,4,4,566.144926
558,513,BHO,DEL,4,4,694.5256932
558,577,BHO,HYD,4,4,194.1394192
558,572,BHO,JAI,4,4,95.10088767
558,549,BHO,PNQ,4,4,67.46949041
558,512,BHO,RPR,4,4,68.53536986
558,548,BHO,SAG,4,4,64.94849315
558,574,BHO,UDR,4,4,60.19616438
1,99,BHQ,ADL,0,0,44.7035726
1,110,BHQ,MQL,0,0,22.31331507
520,552,BHU,BOM,4,4,67.29297534
188,809,BHY,BKK,2,14,42.36361644
188,167,BHY,CAN,2,2,116.0247123
188,233,BHY,CGD,2,2,97.76219178
188,202,BHY,CGO,2,2,115.9477699
188,159,BHY,CKG,2,2,238.4219781
188,232,BHY,CSX,2,2,330.4754027
188,298,BHY,CTU,2,2,244.9621808
188,857,BHY,DAD,2,15,55.52530411
188,164,BHY,FOC,2,2,100.9801973
188,215,BHY,HAK,2,2,42.78227397
188,379,BHY,HGH,2,2,153.6774575
188,235,BHY,HNY,2,2,18.63591781
188,225,BHY,HRB,2,2,42.36361644
188,252,BHY,KHN,2,2,166.8595123
188,365,BHY,KMG,2,2,100.2628219
188,196,BHY,KWE,2,2,118.7969041
188,179,BHY,LHW,2,2,25.25523288
188,363,BHY,LJG,2,2,36.25347945
188,378,BHY,NGB,2,2,81.21050959
188,246,BHY,NKG,2,2,46.0749589
188,154,BHY,PEK,2,2,122.0126466
188,317,BHY,PVG,2,2,188.3823123
188,257,BHY,SHE,2,2,26.88460274
188,211,BHY,SJW,2,2,99.99126027
188,172,BHY,SZX,2,2,49.06666301
188,313,BHY,TAO,2,2,42.36361644
188,207,BHY,WUH,2,2,216.9392822
188,205,BHY,XFN,2,2,58.24164384
188,321,BHY,XIY,2,2,387.4942959
188,244,BHY,YTY,2,2,35.84613699
460,476,BIK,UPG,3,3,226.0637534
570,513,BKB,DEL,4,4,60.6125589
809,749,BKK,AKL,14,11,317.2307068
809,518,BKK,AMD,14,4,129.3380219
809,567,BKK,ATQ,14,4,21.08223562
809,188,BKK,BHY,14,2,42.36361644
809,538,BKK,BLR,14,4,485.8697644
809,92,BKK,BNE,14,0,182.8039836
809,552,BKK,BOM,14,4,1316.720942
809,148,BKK,BWN,14,1,146.6432877
809,167,BKK,CAN,14,2,2074.505288
809,594,BKK,CCU,14,4,905.483737
809,779,BKK,CEB,14,12,64.84439452
809,823,BKK,CEI,14,14,1176.581556
809,399,BKK,CGK,14,3,785.4400055
809,202,BKK,CGO,14,2,225.3848493
809,240,BKK,CGQ,14,2,24.84789041
809,678,BKK,CJU,14,7,102.7181918
809,159,BKK,CKG,14,2,157.3020822
809,818,BKK,CNX,14,14,4274.746882
809,232,BKK,CSX,14,2,147.1185205
809,603,BKK,CTS,14,5,379.5073973
809,298,BKK,CTU,14,2,755.8721918
809,857,BKK,DAD,14,15,636.0290521
809,513,BKK,DEL,14,4,1729.606252
809,851,BKK,DLI,14,15,133.7033753
809,229,BKK,DYG,14,2,141.7551781
809,164,BKK,FOC,14,2,186.6081096
809,644,BKK,FUK,14,5,278.8990575
809,508,BKK,GAY,14,4,90.54317808
809,215,BKK,HAK,14,2,126.007589
809,839,BKK,HAN,14,15,1146.579244
809,834,BKK,HDY,14,14,705.6529315
809,153,BKK,HFE,14,2,91.24471233
809,379,BKK,HGH,14,2,284.2299945
809,391,BKK,HKG,14,2,6095.636318
809,830,BKK,HKT,14,14,5177.816077
809,617,BKK,HND,14,5,2277.203518
809,842,BKK,HPH,14,15,82.00709041
809,577,BKK,HYD,14,4,306.6383562
809,664,BKK,ICN,14,7,3588.035375
809,725,BKK,IPH,14,10,179.4343562
809,595,BKK,IXB,14,4,27.56350685
809,572,BKK,JAI,14,4,76.98772603
809,163,BKK,JJN,14,2,73.74328767
809,829,BKK,KBV,14,14,1302.690981
809,386,BKK,KHH,14,2,271.3466575
809,252,BKK,KHN,14,2,83.91254795
809,629,BKK,KIX,14,5,1068.355189
809,813,BKK,KKC,14,14,796.8297534
809,365,BKK,KMG,14,2,908.5072164
809,727,BKK,KUL,14,10,1884.893529
809,196,BKK,KWE,14,2,75.76569863
809,179,BKK,LHW,14,2,79.83912329
809,589,BKK,LKO,14,4,68.50142466
809,686,BKK,LPQ,14,8,275.2639342
809,819,BKK,LPT,14,14,173.5278904
809,200,BKK,LYA,14,2,42.36361644
809,248,BKK,LYG,14,2,81.01589041
809,583,BKK,MAA,14,4,423.1880877
809,697,BKK,MDL,14,9,261.0386301
809,114,BKK,MEL,14,0,583.5459616
809,780,BKK,MNL,14,12,1730.895353
809,674,BKK,MWX,14,7,66.34703562
809,837,BKK,NAW,14,14,121.4559452
809,378,BKK,NGB,14,2,177.1939726
809,627,BKK,NGO,14,5,716.0537425
809,246,BKK,NKG,14,2,160.4001479
